ORDINAL,EXACT_SIGNATURE,TARGET_SECURITY_MODE,TARGET_MODE_RATIONALE,CALLER_AUTHORITY_SUFFICIENT,PRIVILEGED_BOUNDARY_REQUIRED,BLOCKER_STATUS,RESIDUAL_EVIDENCE
063,listar_lotes_pendentes_avaliacao(),INVOKER,RLS supplies intended lot/broker visibility.,YES,NO,NONE,Caller lifecycle unresolved.
064,listar_membros_visibilidade(),INVOKER,Current caller/RLS hierarchy supplies intended visibility members.,YES,NO,NONE,None.
066,lot_status_health_check(),INVOKER,No proven independent privileged read is required; caller/RLS can govern the diagnostic scope.,YES,NO,NONE,Internal EXECUTE mismatch remains.
070,"mesa_cliente_assert_empreendimento_empresa(uuid,uuid)",DEFINER,Live body must read protected empreendimentos to establish an authoritative empresa↔empreendimento relation unavailable to ordinary caller.,NO,YES,NONE,Input company itself is not treated as authority; equality is proven against trusted row.
072,mesa_cliente_can_access_empresa(uuid),INVOKER,Lower privileged identity helper provides root context and caller/RLS can evaluate same-company membership; wrapper needs no separate elevation.,YES,NO,NONE,Direct client EXECUTE remains inappropriate for internal class.
073,mesa_cliente_can_admin_empresa(uuid),INVOKER,Admin/company predicate can execute under caller authority with lower root helper retaining its own boundary.,YES,NO,NONE,ACL residual.
074,mesa_cliente_current_corretor_context(),INVOKER,Authenticated caller can resolve its own RLS-visible corretor context.,YES,NO,NONE,Internal-helper ACL remains.
092,meu_funil(),INVOKER,Self/broker funnel reads are already RLS-authorized.,YES,NO,NONE,None.
093,"meu_historico(integer,integer)",INVOKER,Self-history is precisely a caller/RLS-scoped query.,YES,NO,NONE,Lifecycle unresolved only.
094,meus_leads_email(),INVOKER,Self lead visibility is governed by RLS.,YES,NO,NONE,None.
095,meus_lembretes(),INVOKER,Self reminder visibility requires no privileged escape.,YES,NO,NONE,Lifecycle unresolved.
096,minha_carteira(),INVOKER,Caller/RLS is the intended portfolio authority.,YES,NO,NONE,None.
097,minha_producao(),INVOKER,Caller/RLS is sufficient for own production metrics.,YES,NO,NONE,None.
101,my_corretor_id(),DEFINER,Identity helper reads corretores while being consumed inside that relation's RLS graph; INVOKER would recurse/default-deny.,NO,YES,NONE,Client EXECUTE is not needed by policy evaluation itself.
102,my_empresa_id(),DEFINER,Tenant derivation from trusted corretor row is part of the same self-referential RLS graph.,NO,YES,NONE,ACL residual.
103,my_time_id(),DEFINER,Team derivation participates in protected hierarchy policy composition and requires escape from recursive caller RLS.,NO,YES,NONE,ACL residual.
104,my_times_como_gestor(),DEFINER,Transitive corretores↔times policy composition is circular under INVOKER; trusted hierarchy lookup needs privileged escape.,NO,YES,NONE,ACL residual.
107,pme_can_access_empresa(uuid),INVOKER,Live body only composes is_root() and my_empresa_id(); those lower helpers retain required privilege. PME wrapper itself has no independent table escape.,YES,NO,NONE,Internal-helper EXECUTE remains separate.
108,pme_can_consume_empresa(uuid),INVOKER,"Its corretores self-row lookup is available under authenticated RLS, while root elevation remains isolated in is_root.",YES,NO,NONE,No PME-table recursion proven.
109,pme_is_empresa_admin(uuid),INVOKER,Same-company admin predicate can be evaluated from caller-visible self row; core root check remains separately privileged.,YES,NO,NONE,No PME-table self-recursion.
119,relatorio_fornecedor(uuid),INVOKER,"Under INVOKER, supplied p_lista_id can only resolve rows exposed by listas/leads/lista_avaliacoes RLS; this supplies the tenant/list binding missing from the current postgres-DEFINER execution.",YES,NO,RESOLVED,"Runtime hostile assurance is still not performed, but the target-mode authority question is closed statically."
120,"relatorio_historico_corretor(date,date,text,integer,integer)",INVOKER,Report is caller/broker-scoped and direct SELECT/RLS is sufficient.,YES,NO,NONE,None mode-blocking.
126,solicitar_lote_core(uuid),INVOKER,"Live body performs no local DML: it enforces self/root gate and delegates the actual privileged allocation to accepted privileged callees (is_root, solicitar_lote). Its own DEFINER layer is unnecessary.",YES,NO,NONE,"p_user_id/forced-user semantics remain relevant to 127, but not to 126's local mode requirement."
127,solicitar_lote_forcado(uuid),NOT_DETERMINED,"Wrapper claims forced-user semantics but solicitar_lote_core ultimately calls solicitar_lote(NULL), whose actor is auth.uid(); requested forced actor is not proven to control allocation.",NOT_DETERMINED,NOT_PROVEN,REMAINS,Need authoritative forced-user semantics and full actor-binding contract.
128,"t1_can_update_corretor_row_strict(uuid,uuid,text,boolean,boolean)",DEFINER,This predicate executes inside corretores UPDATE RLS and reads protected identity/hierarchy relations; INVOKER would re-enter policy evaluation.,NO,YES,NONE,Execute ACL remains separate.
129,t1_is_root_strict(),DEFINER,Live body reads admins to derive trusted root identity; ordinary caller has no direct table authority. No separate recursion proof is necessary.,NO,YES,NONE,Direct client EXECUTE is not justified by internal-helper class.
137,"validar_mesa_cliente_desconto(uuid,numeric,numeric)",INVOKER,"Live body has no direct protected-table access; privileged policy retrieval is entirely delegated to get_mesa_cliente_desconto_politica, which retains the necessary DEFINER boundary.",YES,NO,NONE,Internal-helper ACL residual.
