M2_02_ORDINAL,EXACT_SIGNATURE,LIVE_EXISTENCE,SECURITY_MODE_CURRENT,OWNER_CURRENT,SEARCH_PATH_CURRENT,PUBLIC_EXECUTE,ANON_EXECUTE,AUTHENTICATED_EXECUTE,SERVICE_ROLE_EXECUTE,M2_02_PROVENANCE,CANONICAL_CALLER,CALLER_EVIDENCE,LIFECYCLE_STATE,STATIC_READS,STATIC_WRITES,SIDE_EFFECT_CLASS,ACTOR_DERIVATION,TENANT_DERIVATION,ROLE_PERMISSION_DERIVATION,OBJECT_AUTHORITY_BASIS,TRANSITIVE_CALLEES,TRANSITIVE_PRIVILEGE_EXPANSION,B1_TARGET_AUTHORITY_CLASS,DEFINER_ELEVATION_REASON,DEFINER_JUSTIFICATION_STATUS,TARGET_SECURITY_MODE,TARGET_EXECUTE_PRINCIPALS,CALLER_ACL_CONTRADICTION,OWNER_TARGET_STATUS,SEARCH_PATH_TARGET_STATUS,RLS_OR_DIRECT_DML_DEPENDENCY,M2_04C_DEPENDENCY,TRIGGER_DEPENDENCY,M2_04D_DEPENDENCY,APPSEC_ASSURANCE_REQUIRED,RUNTIME_ASSURANCE_REQUIRED,FINDING_CLASS,RESIDUAL_RISK,PROOF_NEEDED
020,"public.criar_empresa_root(p_nome text, p_slug text, p_plano_id uuid, p_trial_dias integer)",YES,DEFINER,postgres,public,false,false,true,true,APP,ACTIVE_VERSIONED_APP_CALLER,accepted M2-02 provenance closure + live exact signature/body,ACTIVE_VERSIONED_APP_CALLER,YES,YES,MUTATIVE,auth.uid()/server-derived profile,server-derived empresa/object relation,trusted tables/helpers; not client-presented,caller-owned/server context,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,PRIVILEGED_OPERATION,controlled privileged read/write path; caller direct table authority intentionally insufficient or sensitive,PROVEN_BY_BODY_CONTRACT,DEFINER,authenticated + role/object gates,NONE_OBSERVED,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,CONDITIONAL,CONDITIONAL,NONE_OBSERVED,NO,YES,CONDITIONAL,ACCEPTABLE WITH RESIDUAL RISK,runtime effectiveness not proven,independent AppSec retest; runtime/concurrency assurance
021,"public.criar_lista(p_nome_fornecedor text, p_nome_arquivo text, p_escopo_distribuicao text)",YES,DEFINER,postgres,public,false,false,true,true,APP,ACTIVE_VERSIONED_APP_CALLER,accepted M2-02 provenance closure + live exact signature/body,ACTIVE_VERSIONED_APP_CALLER,YES,YES,MUTATIVE,auth.uid()/server-derived profile,server-derived empresa/object relation,trusted tables/helpers; not client-presented,server relation binding,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,PRIVILEGED_OPERATION,controlled privileged read/write path; caller direct table authority intentionally insufficient or sensitive,PROVEN_BY_BODY_CONTRACT,DEFINER,authenticated + role/object gates,NONE_OBSERVED,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,CONDITIONAL,CONDITIONAL,NONE_OBSERVED,NO,YES,CONDITIONAL,ACCEPTABLE WITH RESIDUAL RISK,runtime effectiveness not proven,independent AppSec retest; runtime/concurrency assurance
022,"public.criar_mesa_simulacao(p_lead_id uuid, p_empreendimento_id uuid, p_unidade_estoque_id uuid, p_simulacao_origem_id uuid, p_cliente_nome text, p_valor_total numeric, p_prazo_meses integer, p_oficial boolean, p_snapshot_payload jsonb)",YES,DEFINER,postgres,public,false,false,true,true,APP,ACTIVE_VERSIONED_APP_CALLER,accepted M2-02 provenance closure + live exact signature/body,ACTIVE_VERSIONED_APP_CALLER,YES,YES,MUTATIVE,auth.uid()/server-derived profile,server-derived empresa/object relation,trusted tables/helpers; not client-presented,server relation binding,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,PRIVILEGED_OPERATION,controlled privileged read/write path; caller direct table authority intentionally insufficient or sensitive,PROVEN_BY_BODY_CONTRACT,DEFINER,authenticated + role/object gates,NONE_OBSERVED,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,CONDITIONAL,CONDITIONAL,NONE_OBSERVED,NO,YES,CONDITIONAL,ACCEPTABLE WITH RESIDUAL RISK,runtime effectiveness not proven,independent AppSec retest; runtime/concurrency assurance
023,"public.criar_time(p_nome text, p_gestor_id uuid)",YES,DEFINER,postgres,"pg_catalog, public",false,false,true,true,APP,ACTIVE_VERSIONED_APP_CALLER,accepted M2-02 provenance closure + live exact signature/body,ACTIVE_VERSIONED_APP_CALLER,YES,YES,MUTATIVE,auth.uid()/server-derived profile,server-derived empresa/object relation,trusted tables/helpers; not client-presented,server relation binding,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,PRIVILEGED_OPERATION,controlled privileged read/write path; caller direct table authority intentionally insufficient or sensitive,PROVEN_BY_BODY_CONTRACT,DEFINER,authenticated + role/object gates,NONE_OBSERVED,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),HARDENED_FORM_OBSERVED; semantic safety still requires review,CONDITIONAL,CONDITIONAL,NONE_OBSERVED,NO,YES,YES,ACCEPTABLE WITH RESIDUAL RISK,runtime effectiveness not proven,independent AppSec retest; runtime/concurrency assurance
024,public.debug_solicitar_lote(),YES,DEFINER,postgres,public,false,false,false,true,NO_VERSIONED_CALLER,NO_VERSIONED_CALLER,accepted M2-02 provenance closure + live exact signature/body,NO_VERSIONED_CALLER,NO,NO,READ_ONLY,auth.uid()/server-derived profile,N/A or indirect,none/indirect,caller-owned/server context,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,DB_INTERNAL_HELPER,none required; caller/internal context sufficient for observed operation,NOT_REQUIRED,INVOKER,internal callers only; no direct client EXECUTE,NONE_OBSERVED,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,CONDITIONAL,CONDITIONAL,NONE_OBSERVED,NO,CONDITIONAL,NO,ACCEPTABLE WITH RESIDUAL RISK,lifecycle/caller reachability unresolved,caller/lifecycle adjudication
025,public.devolver_lote(p_lote_id uuid),YES,DEFINER,postgres,public,false,false,true,true,EXT_NO_APP_CALLER,NO_CURRENT_APP_CALLER_PROVEN,accepted M2-02 provenance closure + live exact signature/body,NO_CURRENT_APP_CALLER_PROVEN,YES,YES,MUTATIVE,auth.uid()/server-derived profile,server-derived empresa/object relation,none/indirect,server relation binding,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,AUTHENTICATED_COMMAND,controlled privileged read/write path; caller direct table authority intentionally insufficient or sensitive,PROVEN_BY_BODY_CONTRACT,DEFINER,authenticated,NONE_OBSERVED,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,YES,YES,NONE_OBSERVED,NO,CONDITIONAL,CONDITIONAL,ACCEPTABLE WITH RESIDUAL RISK,lifecycle/caller reachability unresolved,runtime/concurrency assurance; caller/lifecycle adjudication
027,public.distribuir_lotes(),YES,DEFINER,postgres,public,false,false,true,true,APP,ACTIVE_VERSIONED_APP_CALLER,accepted M2-02 provenance closure + live exact signature/body,ACTIVE_VERSIONED_APP_CALLER,YES,YES,MUTATIVE,auth.uid()/server-derived profile,server-derived empresa/object relation,trusted tables/helpers; not client-presented,caller-owned/server context,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,PRIVILEGED_OPERATION,controlled privileged read/write path; caller direct table authority intentionally insufficient or sensitive,PROVEN_BY_BODY_CONTRACT,DEFINER,authenticated + role/object gates,NONE_OBSERVED,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,CONDITIONAL,CONDITIONAL,NONE_OBSERVED,NO,YES,YES,ACCEPTABLE WITH RESIDUAL RISK,runtime effectiveness not proven,independent AppSec retest; runtime/concurrency assurance
028,"public.encerrar_lote_parcial(p_lote_id uuid, p_quantidade_trabalhada integer, p_motivo text, p_observacao text)",YES,DEFINER,postgres,public,false,false,true,true,EXT_NO_APP_CALLER,NO_CURRENT_APP_CALLER_PROVEN,accepted M2-02 provenance closure + live exact signature/body,NO_CURRENT_APP_CALLER_PROVEN,YES,YES,MUTATIVE,auth.uid()/server-derived profile,server-derived empresa/object relation,none/indirect,server relation binding,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,AUTHENTICATED_COMMAND,controlled privileged read/write path; caller direct table authority intentionally insufficient or sensitive,PROVEN_BY_BODY_CONTRACT,DEFINER,authenticated,NONE_OBSERVED,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,YES,YES,NONE_OBSERVED,NO,CONDITIONAL,CONDITIONAL,ACCEPTABLE WITH RESIDUAL RISK,lifecycle/caller reachability unresolved,runtime/concurrency assurance; caller/lifecycle adjudication
029,public.excluir_lista(p_lista_id uuid),YES,DEFINER,postgres,public,false,false,true,true,APP,ACTIVE_VERSIONED_APP_CALLER,accepted M2-02 provenance closure + live exact signature/body,ACTIVE_VERSIONED_APP_CALLER,YES,YES,MUTATIVE,auth.uid()/server-derived profile,server-derived empresa/object relation,trusted tables/helpers; not client-presented,server relation binding,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,PRIVILEGED_OPERATION,controlled privileged read/write path; caller direct table authority intentionally insufficient or sensitive,PROVEN_BY_BODY_CONTRACT,DEFINER,authenticated + role/object gates,NONE_OBSERVED,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,CONDITIONAL,CONDITIONAL,NONE_OBSERVED,NO,YES,CONDITIONAL,ACCEPTABLE WITH RESIDUAL RISK,runtime effectiveness not proven,independent AppSec retest; runtime/concurrency assurance
031,"public.gerenciar_lista(p_lista_id uuid, p_acao text, p_motivo text)",YES,DEFINER,postgres,public,false,false,false,true,APP,ACTIVE_VERSIONED_APP_CALLER,accepted M2-02 provenance closure + live exact signature/body,ACTIVE_VERSIONED_APP_CALLER,NO,YES,MUTATIVE,auth.uid()/server-derived profile,server-derived empresa/object relation,trusted tables/helpers; not client-presented,caller-owned/server context,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,PRIVILEGED_OPERATION,"NOT PROVEN. Live body mutates listas, leads, and logs, but only checks is_gestor() and does not establish tenant/object binding for p_lista_id. No concrete B1-compliant reason currently proves that DEFINER elevation is required rather than merely present.",NOT_PROVEN,NOT_DETERMINED,"authenticated gestor-class caller, subject to proven tenant/object authority; exact ACL contract remains to be adjudicated",APP_CALLER_WITHOUT_AUTH_EXECUTE,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,CONDITIONAL,YES,NONE_OBSERVED,NO,YES,CONDITIONAL,BLOCKING,cross-tenant scope risk in current body; ACL/class mismatch,M2-04C proof of caller direct-DML/RLS authority and tenant/object binding; subsequent AppSec assurance; runtime assurance as applicable
032,"public.gerenciar_visibilidade_lista(p_lista_id uuid, p_visibilidade jsonb)",YES,DEFINER,postgres,public,false,false,true,true,APP,ACTIVE_VERSIONED_APP_CALLER,accepted M2-02 provenance closure + live exact signature/body,ACTIVE_VERSIONED_APP_CALLER,YES,YES,MUTATIVE,auth.uid()/server-derived profile,server-derived empresa/object relation,trusted tables/helpers; not client-presented,server relation binding,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,PRIVILEGED_OPERATION,controlled privileged read/write path; caller direct table authority intentionally insufficient or sensitive,PROVEN_BY_BODY_CONTRACT,DEFINER,authenticated + role/object gates,NONE_OBSERVED,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,CONDITIONAL,CONDITIONAL,NONE_OBSERVED,NO,YES,CONDITIONAL,ACCEPTABLE WITH RESIDUAL RISK,runtime effectiveness not proven,independent AppSec retest; runtime/concurrency assurance
033,public.get_contagens_corretor(),YES,DEFINER,postgres,public,false,false,true,true,APP,ACTIVE_VERSIONED_APP_CALLER,accepted M2-02 provenance closure + live exact signature/body,ACTIVE_VERSIONED_APP_CALLER,YES,NO,READ_ONLY,auth.uid()/server-derived profile,N/A or indirect,none/indirect,caller-owned/server context,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,AUTHENTICATED_QUERY,requires M2-04C/RLS or parent-caller proof before deciding whether caller authority is sufficient,NOT_DETERMINED,NOT_DETERMINED,authenticated,NONE_OBSERVED,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,YES,YES,NONE_OBSERVED,NO,NO / NOT_REQUIRED_FOR_THIS_CLASSIFICATION,NO,REQUIRED IN THIS TASK,mode depends on RLS/direct authority proof,M2-04C RLS/direct-DML proof
034,public.get_corretores_time(p_time_id uuid),YES,DEFINER,postgres,public,false,false,true,true,APP,ACTIVE_VERSIONED_APP_CALLER,accepted M2-02 provenance closure + live exact signature/body,ACTIVE_VERSIONED_APP_CALLER,YES,NO,READ_ONLY,auth.uid()/server-derived profile,server-derived empresa/object relation,trusted tables/helpers; not client-presented,server relation binding,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,AUTHENTICATED_QUERY,requires M2-04C/RLS or parent-caller proof before deciding whether caller authority is sufficient,NOT_DETERMINED,NOT_DETERMINED,authenticated,NONE_OBSERVED,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,YES,YES,NONE_OBSERVED,NO,NO / NOT_REQUIRED_FOR_THIS_CLASSIFICATION,NO,REQUIRED IN THIS TASK,mode depends on RLS/direct authority proof,M2-04C RLS/direct-DML proof
035,"public.get_dashboard_gestor(p_data_inicio date, p_data_fim date, p_time_id uuid)",YES,DEFINER,postgres,public,false,false,true,true,APP,ACTIVE_VERSIONED_APP_CALLER,accepted M2-02 provenance closure + live exact signature/body,ACTIVE_VERSIONED_APP_CALLER,YES,NO,READ_ONLY,auth.uid()/server-derived profile,server-derived empresa/object relation,trusted tables/helpers; not client-presented,server relation binding,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,AUTHENTICATED_QUERY,requires M2-04C/RLS or parent-caller proof before deciding whether caller authority is sufficient,NOT_DETERMINED,NOT_DETERMINED,authenticated,NONE_OBSERVED,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,YES,YES,NONE_OBSERVED,NO,NO / NOT_REQUIRED_FOR_THIS_CLASSIFICATION,NO,REQUIRED IN THIS TASK,mode depends on RLS/direct authority proof,M2-04C RLS/direct-DML proof
036,public.get_dashboard_master(),YES,DEFINER,postgres,public,false,false,true,true,EXT_NO_APP_CALLER,NO_CURRENT_APP_CALLER_PROVEN,accepted M2-02 provenance closure + live exact signature/body,NO_CURRENT_APP_CALLER_PROVEN,YES,NO,READ_ONLY,server relation / supplied object,server-derived empresa/object relation,trusted tables/helpers; not client-presented,caller-owned/server context,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,PRIVILEGED_OPERATION,"NOT PROVEN. The routine performs global reads over leads, listas, and corretores after only is_gestor(). The body does not prove that a gestor is intentionally authorized to bypass tenant-scoped authority.",NOT_PROVEN,NOT_DETERMINED,authenticated privileged caller with proven global/root or tenant-scoped authority; exact principal contract unresolved,NONE_OBSERVED,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,CONDITIONAL,YES,NONE_OBSERVED,NO,YES,NO,BLOCKING,cross-tenant scope risk in current body; lifecycle/caller reachability unresolved,M2-04C/direct-read authority proof establishing whether global visibility is intentional; independent AppSec assurance
037,public.get_dashboard_stats(p_empresa_id uuid),YES,DEFINER,postgres,public,false,false,true,true,APP,ACTIVE_VERSIONED_APP_CALLER,accepted M2-02 provenance closure + live exact signature/body,ACTIVE_VERSIONED_APP_CALLER,YES,NO,READ_ONLY,auth.uid()/server-derived profile,server-derived empresa/object relation,trusted tables/helpers; not client-presented,server relation binding,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,AUTHENTICATED_QUERY,requires M2-04C/RLS or parent-caller proof before deciding whether caller authority is sufficient,NOT_DETERMINED,NOT_DETERMINED,authenticated,NONE_OBSERVED,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,YES,YES,NONE_OBSERVED,NO,NO / NOT_REQUIRED_FOR_THIS_CLASSIFICATION,NO,REQUIRED IN THIS TASK,mode depends on RLS/direct authority proof,M2-04C RLS/direct-DML proof
038,public.get_empreendimentos_mesa(p_empresa_id uuid),YES,DEFINER,postgres,public,false,true,true,true,APP,ACTIVE_VERSIONED_APP_CALLER,accepted M2-02 provenance closure + live exact signature/body,ACTIVE_VERSIONED_APP_CALLER,YES,NO,READ_ONLY,auth.uid()/server-derived profile,server-derived empresa/object relation,trusted tables/helpers; not client-presented,server relation binding,none material observed,NO_MATERIAL_EXPANSION_OBSERVED,AUTHENTICATED_QUERY,requires M2-04C/RLS or parent-caller proof before deciding whether caller authority is sufficient,NOT_DETERMINED,NOT_DETERMINED,authenticated,ANON_EXECUTE_EXCEEDS_TARGET,NOT_DETERMINED (owner postgres observed; target owner not auto-accepted),REVIEW_REQUIRED,YES,YES,NONE_OBSERVED,NO,NO / NOT_REQUIRED_FOR_THIS_CLASSIFICATION,NO,REQUIRED IN THIS TASK,ACL/class mismatch; mode depends on RLS/direct authority proof,M2-04C RLS/direct-DML proof
